iid1	iid2	max_ibd	sum_ibd_8	n_ibd_8	sum_ibd_12	n_ibd_12	sum_ibd_16	n_ibd_16	sum_ibd_20	n_ibd_20	frac_gp1	frac_gp2
RKF141	RKF213	200.84429	2351.754998759048	37	2351.754998759048	37	2338.0013987590487	36	2319.820599274796	35	0.8961572900508241	0.8949970363083752
KFJ040	KFJ022	229.8214942216873	2339.3584470676724	35	2320.9032499828418	33	2305.6094491520007	32	2305.6094491520007	32	0.8897002257450216	0.9113036459712712
KFJ040	KFJ017	191.6659	2336.694299118873	24	2326.1927981547087	23	2326.1927981547087	23	2326.1927981547087	23	0.8897002257450216	0.8991462045830023
KFJ049	KFJ047	160.89441776275638	2332.2347482532814	37	2320.925351032669	36	2254.1464509296725	31	2235.3021504211733	30	0.7891238823099138	0.906032058315362
KUP010	KUP011	176.684	2313.0429214934657	35	2303.9000204901045	34	2274.390124450142	32	2274.390124450142	32	0.7572673502074584	0.890557804598136
RKF196	RKF124	267.9724	2312.448321745743	32	2291.0313119152684	30	2291.0313119152684	30	2239.9218014019625	27	0.8742133605740734	0.880720870694765
KFJ048	KFJ053	154.0857017040253	2306.0501161006587	41	2278.553620055523	38	2209.091618606319	33	2155.7938183125875	30	0.8704929817260035	0.8915036636273063
KFJ043	KFJ017	219.6956	2300.3561001682738	19	2300.3561001682738	19	2300.3561001682738	19	2300.3561001682738	19	0.8834575561524977	0.8991462045830023
RKF218	RKF010	223.2374	2295.2280206396717	34	2275.731317491783	32	2261.654217491783	31	2245.479626904167	30	0.7906750911177531	0.821850604719206
RKF121	RKF194	220.8839	2294.359703024208	38	2263.729204583466	35	2235.0181001904607	33	2181.7466957875367	30	0.8931431526112015	0.903333207218796
KFJ012	KFJ022	268.7795	2291.770490251541	30	2280.9629939422607	29	2236.8474831964413	26	2218.1709876443783	25	0.871350560579118	0.9113036459712712
KFJ007	KFJ043	204.0474	2282.468480564972	22	2272.1241779107054	21	2259.616776910705	20	2259.616776910705	20	0.8694336196133329	0.8834575561524977
RKF042	RKF047	180.1861	2274.1962943894027	38	2253.4660939779587	36	2195.741885135872	32	2178.794389198524	31	0.8349412936829228	0.8884012460116277
HNJ015	HNJ026	174.8044	2262.907704099472	33	2262.907704099472	33	2236.992202858932	31	2219.243894677169	30	0.8581715914393452	0.8908730909411928
